column,dtype,n_missing,pct_missing,n_unique
DN,int64,0,0.0,54547
TWI_mean,float64,0,0.0,54545
soil_texture,object,0,0.0,2
geometry,geometry,0,0.0,54547
ContributingFactor_mean,float64,0,0.0,54545
type,object,0,0.0,3
landslide,int32,0,0.0,2
BUK_mean,float64,0,0.0,49069
Soil Type,int64,0,0.0,4
distrd_min,float64,0,0.0,7343
Distrv_min,float64,0,0.0,2048
Prc_mean,float64,0,0.0,1059
PGA1_max,float64,0,0.0,4724
PGA2_max,float64,0,0.0,2863
LULC_majority,float64,0,0.0,9
BD_mean,float64,0,0.0,22950
DistFlt_min,float64,0,0.0,39067
SoilThc_mean,float64,0,0.0,29988
Elev_mean,float64,0,0.0,54544
Slope_mean,float64,0,0.0,54542
VertCurv_mean,float64,0,0.0,54547
HorCurv_mean,float64,0,0.0,54546
Nrt_mean,float64,0,0.0,54546
Est_mean,float64,0,0.0,54546
NDVI_mean,float64,0,0.0,54469
Silt_mean,float64,0,0.0,25990
Sand_mean,float64,0,0.0,25847
Clay_mean,float64,0,0.0,25985
soil_texture_idx,int64,0,0.0,2
