dataset,landslide,type,soil_texture_idx,PGA2_max,x,y,predicted_susceptibility
training,0.0,Undifferentiated,7,0.2883048951625824,-34.982494,47.407772,0.1202922835946083
training,0.0,Undifferentiated,11,0.13233299553394318,31.564657,-11.1706915,0.2596403956413269
training,0.0,Undifferentiated,7,0.19142307341098785,-72.50289,-5.880582,0.18122979998588562
training,0.0,Undifferentiated,11,0.20320266485214233,77.259186,-17.852104,0.062100593000650406
training,0.0,Undifferentiated,11,0.2668074369430542,48.82733,-9.601418,0.14037315547466278
training,0.0,Sandy Clay Loam,11,0.2945865988731384,65.814156,-12.118687,0.055516187101602554
training,0.0,Undifferentiated,7,0.1741417497396469,-41.08285,-35.587563,0.2876092791557312
training,0.0,Undifferentiated,7,0.11556155234575272,-27.897352,5.1215286,0.04521140083670616
training,0.0,Undifferentiated,7,0.17772223055362701,-5.690907,-12.380993,0.09090560674667358
training,0.0,Undifferentiated,7,0.19872808456420898,-55.55417,-35.570198,0.3298695385456085
training,0.0,Sandy Clay Loam,7,0.3969598114490509,8.311323,-74.76557,0.37190836668014526
training,0.0,Undifferentiated,7,0.1856803297996521,-66.14425,-13.103089,0.08276024460792542
training,0.0,Sandy Clay Loam,7,0.23836994171142578,21.341194,-38.539864,0.15988554060459137
training,0.0,Undifferentiated,7,0.16025777161121368,-38.20328,23.635555,0.08162502944469452
training,0.0,Sandy Clay Loam,7,0.46338438987731934,7.921529,-79.67675,0.7509838938713074
training,0.0,Sandy Clay Loam,7,0.2170533388853073,17.903378,-50.556465,0.14977367222309113
training,0.0,Sandy Clay Loam,7,0.21908201277256012,9.433777,4.20903,0.05024588480591774
training,0.0,Undifferentiated,7,0.2154720574617386,-13.164614,-3.7222993,0.13079525530338287
training,0.0,Sandy Clay Loam,7,0.37130075693130493,-5.4993424,-72.68624,0.6790645718574524
training,0.0,Sandy Clay Loam,7,0.3991628587245941,-11.551662,-69.77538,0.987275242805481
training,0.0,Undifferentiated,7,0.14340615272521973,-48.175938,-11.772334,0.07159258425235748
training,0.0,Sandy Clay Loam,7,0.34185993671417236,12.858272,-64.01236,0.1792982518672943
training,0.0,Undifferentiated,7,0.12942881882190704,-29.128996,-29.33804,0.19513198733329773
training,0.0,Undifferentiated,11,0.13523997366428375,31.003466,-13.775496,0.1034223660826683
training,0.0,Undifferentiated,7,0.17439807951450348,-24.006186,-21.211779,0.09135331958532333
training,0.0,Undifferentiated,7,0.20320266485214233,-13.209689,-18.96232,0.0601067952811718
training,0.0,Undifferentiated,7,0.2745945453643799,-34.062157,44.74629,0.08608654141426086
training,0.0,Sandy Clay Loam,7,0.29309216141700745,22.588177,-36.64473,0.9640421271324158
training,0.0,Undifferentiated,11,0.2830606698989868,52.48314,-10.785092,0.4717263877391815
training,0.0,Sandy Clay Loam,7,0.3588123619556427,7.500524,30.122253,0.26993870735168457
training,0.0,Undifferentiated,7,0.17097201943397522,-30.538294,-9.193994,0.088210329413414
training,0.0,Sandy Clay Loam,7,0.33653175830841064,0.21657221,-65.67176,0.20509465038776398
training,0.0,Sandy Clay Loam,7,0.40690386295318604,-17.526537,-71.45722,0.5821316242218018
training,0.0,Undifferentiated,7,0.20730575919151306,-55.15019,-30.30171,0.3160848617553711
training,0.0,Sandy Clay Loam,7,0.3386533558368683,-3.0473402,-35.025143,0.23767144978046417
training,0.0,Undifferentiated,7,0.11906049400568008,-12.183521,-31.121508,0.07174388319253922
training,0.0,Sandy Clay Loam,7,0.24786847829818726,8.650243,-56.474785,0.08124255388975143
training,0.0,Sandy Clay Loam,7,0.42820870876312256,8.158376,-77.13401,0.9186738729476929
training,0.0,Undifferentiated,7,0.12888477742671967,-24.63197,-28.74276,0.1740606725215912
training,0.0,Sandy Clay Loam,7,0.3227320611476898,4.5928364,-27.758152,0.05996165797114372
training,0.0,Sandy Clay Loam,7,0.39835456013679504,5.1058364,-78.97889,0.6481385231018066
training,0.0,Undifferentiated,7,0.12948660552501678,-45.15295,-35.245834,0.14543195068836212
training,0.0,Sandy Clay Loam,7,0.44194990396499634,19.567482,-75.756714,0.0766807273030281
training,0.0,Sandy Clay Loam,7,0.376159131526947,-8.546081,-72.13671,0.9662924408912659
training,0.0,Undifferentiated,7,0.34434083104133606,-51.361324,43.986515,0.04716192185878754
training,0.0,Undifferentiated,7,0.20963458716869354,-59.368786,-18.4879,0.7308253645896912
training,0.0,Sandy Clay Loam,7,0.1699766367673874,39.547955,13.331718,0.16521085798740387
training,0.0,Sandy Clay Loam,7,0.36198246479034424,2.4071395,-56.965862,0.15206457674503326
training,0.0,Undifferentiated,7,0.14977899193763733,-25.82953,5.082593,0.03846866264939308
training,0.0,Sandy Clay Loam,7,0.3306744694709778,-8.65807,-68.312096,0.8504192233085632
training,0.0,Sandy Clay Loam,7,0.43825599551200867,24.686975,-58.45377,0.17661428451538086
training,0.0,Sandy Clay Loam,7,0.34499847888946533,3.5819967,-34.04403,0.0670236125588417
training,0.0,Sandy Clay Loam,7,0.3142714202404022,6.369835,-27.980217,0.043513838201761246
training,0.0,Undifferentiated,7,0.19161736965179443,-40.34554,25.912846,0.1350252479314804
training,0.0,Undifferentiated,7,0.16586193442344666,-58.411816,-23.548414,0.15968354046344757
training,0.0,Sandy Clay Loam,7,0.2917373478412628,-5.7614474,-62.792633,0.27805572748184204
training,0.0,Sandy Clay Loam,7,0.35477373003959656,-2.3075905,-38.28584,0.1076546311378479
training,0.0,Sandy Clay Loam,7,0.2207852303981781,11.288254,-54.93705,0.20008717477321625
training,0.0,Undifferentiated,7,0.20199111104011536,-70.57089,-0.49847543,0.2715940773487091
training,0.0,Undifferentiated,7,0.1539974957704544,-34.021614,-7.4384956,0.07096774876117706
training,0.0,Undifferentiated,7,0.15013901889324188,-48.000874,-26.713173,0.23527482151985168
training,0.0,Sandy Clay Loam,7,0.19794727861881256,-14.725909,-2.4111516,0.42862871289253235
training,0.0,Sandy Clay Loam,7,0.20880794525146484,-54.6114,21.991705,0.07783924043178558
training,0.0,Undifferentiated,11,0.1865130364894867,33.009777,-11.842867,0.14806412160396576
training,0.0,Sandy Clay Loam,11,0.35359734296798706,60.907402,-14.293297,0.3054943382740021
training,0.0,Sandy Clay Loam,7,0.28074488043785095,-3.6808965,-33.33337,0.09808724373579025
training,0.0,Sandy Clay Loam,7,0.27543190121650696,-3.1583278,-28.575428,0.13016876578330994
training,0.0,Undifferentiated,7,0.2664124071598053,-44.534492,34.166348,0.1316058486700058
training,0.0,Sandy Clay Loam,7,0.370008260011673,17.714008,-71.499565,0.4922913908958435
training,0.0,Sandy Clay Loam,7,0.359539270401001,-19.363775,40.304916,0.13091740012168884
training,0.0,Undifferentiated,7,0.17623576521873474,-27.138445,-34.480175,0.30288219451904297
training,0.0,Undifferentiated,7,0.18991719186306,-59.309814,-15.843845,0.14904719591140747
training,0.0,Undifferentiated,7,0.19321218132972717,-42.986275,22.992537,0.22257773578166962
training,0.0,Undifferentiated,7,0.38028889894485474,-50.295444,43.395206,0.08544105291366577
training,0.0,Undifferentiated,7,0.15013901889324188,-47.881012,-26.346718,0.28404006361961365
training,0.0,Undifferentiated,7,0.1649201512336731,-33.583187,-12.313906,0.19304437935352325
training,0.0,Sandy Clay Loam,7,0.425046443939209,4.1604557,33.32546,0.08108409494161606
training,0.0,Undifferentiated,7,0.17226652801036835,-67.41628,-11.678528,0.0913308635354042
