fold,auc_orig,auc_clip,auc_delta,balacc_orig,balacc_clip,mean_sus_orig,mean_sus_clip,ifi_mean_deg_orig,ifi_mean_deg_clip,ifi_min_deg_orig,ifi_max_deg_orig,frac_below_25_orig,frac_above_45_orig,coh_mean_orig,coh_mean_clip
1,0.7876200850396513,0.6744962491022176,-0.11312383593743369,0.725026037018385,0.6285587555212734,0.3053485155105591,0.28833863139152527,31.83805274963379,29.23963165283203,17.33913803100586,57.2957763671875,0.06231591872630278,0.10227659274377546,0.42777353525161743,1.2397706508636475
2,0.5529530696485558,0.6722222926842714,0.11926922303571552,0.524238381243395,0.6303136213426433,0.2496977150440216,0.3149184584617615,36.001609802246094,30.110336303710938,0.0,56.18739318847656,0.16573329682820187,0.21319411603653832,0.6759525537490845,0.4039994180202484
3,0.68888549342972,0.6710706631649022,-0.017814830264817894,0.6351952800727009,0.6282397306617311,0.24396610260009766,0.3354213535785675,35.65543746948242,29.283302307128906,21.069002151489258,57.2957763671875,0.03381287801478458,0.15387742572450241,0.5331379175186157,0.5416392087936401
4,0.6229069281474209,0.7213100456186801,0.09840311747125918,0.5868465047045924,0.6608247880206429,0.32270997762680054,0.28810954093933105,30.707326889038086,31.68050765991211,1.8757370669188352e-25,55.12499237060547,0.15375712472310027,0.01950950377911077,0.7304859757423401,0.3427298665046692
5,0.6740042310579123,0.7510109252919888,0.07700669423407647,0.62241962368219,0.7050045172445056,0.25566983222961426,0.4463694095611572,33.52183151245117,25.82835578918457,2.2048521041870117,57.2957763671875,0.038268163377056526,0.04679294123503497,0.206599161028862,0.09181595593690872
6,0.7096631857233825,0.7014150048542819,-0.008248180869100619,0.6652833380081767,0.6418528613406034,0.28965315222740173,0.24041970074176788,31.836040496826172,31.790254592895508,20.610979080200195,57.2957763671875,0.061925977549344154,0.11930540690776646,0.7039439678192139,0.3464376628398895
7,0.5722079390852559,0.5777551004341703,0.00554716134891442,0.5610097497931736,0.5435545286837058,0.5632924437522888,0.2109014242887497,25.411849975585938,37.487945556640625,3.601121889573733e-08,52.8358154296875,0.5978420489334694,0.017385568857804217,0.21277648210525513,0.09382529556751251
8,0.7067159190488299,0.6598541563223951,-0.04686176272643483,0.6730373050731967,0.6169641057909976,0.38455823063850403,0.30217626690864563,30.047670364379883,30.676780700683594,0.08767008781433105,57.2957763671875,0.19232811475885872,0.06147381171648787,0.17125725746154785,0.8091731667518616
9,0.6897815190986241,0.6886287341492114,-0.0011527849494126219,0.6439069503411219,0.6065262650940777,0.35941147804260254,0.20596694946289062,30.100894927978516,34.6192512512207,3.443623966710441e-14,50.60237121582031,0.21991437887348483,0.011316590752586472,0.31279703974723816,0.6323384046554565
10,0.6110336205646832,0.7125672691223525,0.10153364855766922,0.5936732037445496,0.6478697035263902,0.3733515739440918,0.24945861101150513,29.043991088867188,34.14490509033203,0.00021130539244040847,57.2957763671875,0.17441571048112103,0.02756137425226705,0.5529826283454895,0.39531102776527405
